"data","dt_evoluca","n"
"2020-05-04",2020-03-23,36
"2020-05-04",2020-03-24,32
"2020-05-04",2020-03-25,33
"2020-05-04",2020-03-26,42
"2020-05-04",2020-03-27,52
"2020-05-04",2020-03-28,65
"2020-05-04",2020-03-29,63
"2020-05-04",2020-03-30,83
"2020-05-04",2020-03-31,86
"2020-05-04",2020-04-01,93
"2020-05-04",2020-04-02,106
"2020-05-04",2020-04-03,126
"2020-05-04",2020-04-04,139
"2020-05-04",2020-04-05,143
"2020-05-04",2020-04-06,151
"2020-05-04",2020-04-07,163
"2020-05-04",2020-04-08,159
"2020-05-04",2020-04-09,132
"2020-05-04",2020-04-10,180
"2020-05-04",2020-04-11,160
"2020-05-04",2020-04-12,193
"2020-05-04",2020-04-13,198
"2020-05-04",2020-04-14,183
"2020-05-04",2020-04-15,201
"2020-05-04",2020-04-16,196
"2020-05-04",2020-04-17,186
"2020-05-04",2020-04-18,212
"2020-05-04",2020-04-19,190
"2020-05-04",2020-04-20,229
"2020-05-04",2020-04-21,201
"2020-05-04",2020-04-22,209
"2020-05-04",2020-04-23,213
"2020-05-04",2020-04-24,188
"2020-05-04",2020-04-25,177
"2020-05-04",2020-04-26,201
"2020-05-04",2020-04-27,167
"2020-05-04",2020-04-28,175
"2020-05-04",2020-04-29,150
"2020-05-04",2020-04-30,103
"2020-05-04",2020-05-01,86
"2020-05-04",2020-05-02,70
"2020-05-04",2020-05-03,52
"2020-05-04",2020-05-04,13
"2020-05-18",2020-03-12,1
"2020-05-18",2020-03-15,1
"2020-05-18",2020-03-16,3
"2020-05-18",2020-03-17,4
"2020-05-18",2020-03-18,8
"2020-05-18",2020-03-19,8
"2020-05-18",2020-03-20,17
"2020-05-18",2020-03-21,15
"2020-05-18",2020-03-22,18
"2020-05-18",2020-03-23,34
"2020-05-18",2020-03-24,36
"2020-05-18",2020-03-25,36
"2020-05-18",2020-03-26,49
"2020-05-18",2020-03-27,58
"2020-05-18",2020-03-28,71
"2020-05-18",2020-03-29,69
"2020-05-18",2020-03-30,87
"2020-05-18",2020-03-31,104
"2020-05-18",2020-04-01,108
"2020-05-18",2020-04-02,123
"2020-05-18",2020-04-03,144
"2020-05-18",2020-04-04,155
"2020-05-18",2020-04-05,153
"2020-05-18",2020-04-06,160
"2020-05-18",2020-04-07,178
"2020-05-18",2020-04-08,171
"2020-05-18",2020-04-09,170
"2020-05-18",2020-04-10,202
"2020-05-18",2020-04-11,183
"2020-05-18",2020-04-12,227
"2020-05-18",2020-04-13,233
"2020-05-18",2020-04-14,220
"2020-05-18",2020-04-15,249
"2020-05-18",2020-04-16,251
"2020-05-18",2020-04-17,245
"2020-05-18",2020-04-18,281
"2020-05-18",2020-04-19,270
"2020-05-18",2020-04-20,324
"2020-05-18",2020-04-21,283
"2020-05-18",2020-04-22,340
"2020-05-18",2020-04-23,361
"2020-05-18",2020-04-24,374
"2020-05-18",2020-04-25,367
"2020-05-18",2020-04-26,357
"2020-05-18",2020-04-27,378
"2020-05-18",2020-04-28,390
"2020-05-18",2020-04-29,405
"2020-05-18",2020-04-30,363
"2020-05-18",2020-05-01,369
"2020-05-18",2020-05-02,370
"2020-05-18",2020-05-03,395
"2020-05-18",2020-05-04,385
"2020-05-18",2020-05-05,419
"2020-05-18",2020-05-06,356
"2020-05-18",2020-05-07,351
"2020-05-18",2020-05-08,333
"2020-05-18",2020-05-09,336
"2020-05-18",2020-05-10,329
"2020-05-18",2020-05-11,291
"2020-05-18",2020-05-12,305
"2020-05-18",2020-05-13,261
"2020-05-18",2020-05-14,219
"2020-05-18",2020-05-15,189
"2020-05-18",2020-05-16,146
"2020-05-18",2020-05-17,142
"2020-05-18",2020-05-18,66
"2020-06-01",2020-03-12,1
"2020-06-01",2020-03-15,1
"2020-06-01",2020-03-16,3
"2020-06-01",2020-03-17,4
"2020-06-01",2020-03-18,8
"2020-06-01",2020-03-19,9
"2020-06-01",2020-03-20,16
"2020-06-01",2020-03-21,15
"2020-06-01",2020-03-22,20
"2020-06-01",2020-03-23,38
"2020-06-01",2020-03-24,37
"2020-06-01",2020-03-25,39
"2020-06-01",2020-03-26,53
"2020-06-01",2020-03-27,59
"2020-06-01",2020-03-28,73
"2020-06-01",2020-03-29,70
"2020-06-01",2020-03-30,89
"2020-06-01",2020-03-31,114
"2020-06-01",2020-04-01,113
"2020-06-01",2020-04-02,131
"2020-06-01",2020-04-03,161
"2020-06-01",2020-04-04,174
"2020-06-01",2020-04-05,177
"2020-06-01",2020-04-06,170
"2020-06-01",2020-04-07,188
"2020-06-01",2020-04-08,189
"2020-06-01",2020-04-09,189
"2020-06-01",2020-04-10,228
"2020-06-01",2020-04-11,212
"2020-06-01",2020-04-12,264
"2020-06-01",2020-04-13,274
"2020-06-01",2020-04-14,245
"2020-06-01",2020-04-15,283
"2020-06-01",2020-04-16,280
"2020-06-01",2020-04-17,290
"2020-06-01",2020-04-18,311
"2020-06-01",2020-04-19,324
"2020-06-01",2020-04-20,369
"2020-06-01",2020-04-21,345
"2020-06-01",2020-04-22,421
"2020-06-01",2020-04-23,441
"2020-06-01",2020-04-24,454
"2020-06-01",2020-04-25,477
"2020-06-01",2020-04-26,440
"2020-06-01",2020-04-27,481
"2020-06-01",2020-04-28,516
"2020-06-01",2020-04-29,539
"2020-06-01",2020-04-30,496
"2020-06-01",2020-05-01,545
"2020-06-01",2020-05-02,557
"2020-06-01",2020-05-03,582
"2020-06-01",2020-05-04,625
"2020-06-01",2020-05-05,624
"2020-06-01",2020-05-06,552
"2020-06-01",2020-05-07,549
"2020-06-01",2020-05-08,597
"2020-06-01",2020-05-09,598
"2020-06-01",2020-05-10,562
"2020-06-01",2020-05-11,594
"2020-06-01",2020-05-12,609
"2020-06-01",2020-05-13,553
"2020-06-01",2020-05-14,556
"2020-06-01",2020-05-15,528
"2020-06-01",2020-05-16,505
"2020-06-01",2020-05-17,523
"2020-06-01",2020-05-18,525
"2020-06-01",2020-05-19,537
"2020-06-01",2020-05-20,432
"2020-06-01",2020-05-21,478
"2020-06-01",2020-05-22,496
"2020-06-01",2020-05-23,414
"2020-06-01",2020-05-24,398
"2020-06-01",2020-05-25,418
"2020-06-01",2020-05-26,324
"2020-06-01",2020-05-27,285
"2020-06-01",2020-05-28,247
"2020-06-01",2020-05-29,185
"2020-06-01",2020-05-30,129
"2020-06-01",2020-05-31,82
"2020-06-01",2020-06-01,17
"2020-06-02",2020-03-12,1
"2020-06-02",2020-03-15,1
"2020-06-02",2020-03-16,3
"2020-06-02",2020-03-17,4
"2020-06-02",2020-03-18,8
"2020-06-02",2020-03-19,9
"2020-06-02",2020-03-20,17
"2020-06-02",2020-03-21,14
"2020-06-02",2020-03-22,20
"2020-06-02",2020-03-23,38
"2020-06-02",2020-03-24,37
"2020-06-02",2020-03-25,39
"2020-06-02",2020-03-26,53
"2020-06-02",2020-03-27,58
"2020-06-02",2020-03-28,72
"2020-06-02",2020-03-29,70
"2020-06-02",2020-03-30,88
"2020-06-02",2020-03-31,115
"2020-06-02",2020-04-01,114
"2020-06-02",2020-04-02,130
"2020-06-02",2020-04-03,159
"2020-06-02",2020-04-04,174
"2020-06-02",2020-04-05,174
"2020-06-02",2020-04-06,172
"2020-06-02",2020-04-07,190
"2020-06-02",2020-04-08,187
"2020-06-02",2020-04-09,191
"2020-06-02",2020-04-10,231
"2020-06-02",2020-04-11,211
"2020-06-02",2020-04-12,264
"2020-06-02",2020-04-13,276
"2020-06-02",2020-04-14,252
"2020-06-02",2020-04-15,298
"2020-06-02",2020-04-16,301
"2020-06-02",2020-04-17,312
"2020-06-02",2020-04-18,333
"2020-06-02",2020-04-19,338
"2020-06-02",2020-04-20,379
"2020-06-02",2020-04-21,360
"2020-06-02",2020-04-22,430
"2020-06-02",2020-04-23,457
"2020-06-02",2020-04-24,469
"2020-06-02",2020-04-25,508
"2020-06-02",2020-04-26,459
"2020-06-02",2020-04-27,496
"2020-06-02",2020-04-28,535
"2020-06-02",2020-04-29,555
"2020-06-02",2020-04-30,510
"2020-06-02",2020-05-01,571
"2020-06-02",2020-05-02,575
"2020-06-02",2020-05-03,605
"2020-06-02",2020-05-04,640
"2020-06-02",2020-05-05,661
"2020-06-02",2020-05-06,596
"2020-06-02",2020-05-07,605
"2020-06-02",2020-05-08,644
"2020-06-02",2020-05-09,660
"2020-06-02",2020-05-10,622
"2020-06-02",2020-05-11,641
"2020-06-02",2020-05-12,672
"2020-06-02",2020-05-13,604
"2020-06-02",2020-05-14,623
"2020-06-02",2020-05-15,601
"2020-06-02",2020-05-16,587
"2020-06-02",2020-05-17,597
"2020-06-02",2020-05-18,597
"2020-06-02",2020-05-19,584
"2020-06-02",2020-05-20,499
"2020-06-02",2020-05-21,535
"2020-06-02",2020-05-22,570
"2020-06-02",2020-05-23,497
"2020-06-02",2020-05-24,467
"2020-06-02",2020-05-25,516
"2020-06-02",2020-05-26,430
"2020-06-02",2020-05-27,407
"2020-06-02",2020-05-28,371
"2020-06-02",2020-05-29,384
"2020-06-02",2020-05-30,332
"2020-06-02",2020-05-31,320
"2020-06-02",2020-06-01,306
"2020-06-02",2020-06-02,213
"2020-06-02",2020-06-03,71
"2020-06-03",2020-03-12,1
"2020-06-03",2020-03-15,1
"2020-06-03",2020-03-16,3
"2020-06-03",2020-03-17,4
"2020-06-03",2020-03-18,8
"2020-06-03",2020-03-19,9
"2020-06-03",2020-03-20,17
"2020-06-03",2020-03-21,14
"2020-06-03",2020-03-22,20
"2020-06-03",2020-03-23,38
"2020-06-03",2020-03-24,37
"2020-06-03",2020-03-25,39
"2020-06-03",2020-03-26,53
"2020-06-03",2020-03-27,58
"2020-06-03",2020-03-28,72
"2020-06-03",2020-03-29,70
"2020-06-03",2020-03-30,88
"2020-06-03",2020-03-31,115
"2020-06-03",2020-04-01,114
"2020-06-03",2020-04-02,130
"2020-06-03",2020-04-03,159
"2020-06-03",2020-04-04,174
"2020-06-03",2020-04-05,174
"2020-06-03",2020-04-06,172
"2020-06-03",2020-04-07,190
"2020-06-03",2020-04-08,187
"2020-06-03",2020-04-09,191
"2020-06-03",2020-04-10,231
"2020-06-03",2020-04-11,211
"2020-06-03",2020-04-12,264
"2020-06-03",2020-04-13,276
"2020-06-03",2020-04-14,252
"2020-06-03",2020-04-15,298
"2020-06-03",2020-04-16,301
"2020-06-03",2020-04-17,312
"2020-06-03",2020-04-18,333
"2020-06-03",2020-04-19,338
"2020-06-03",2020-04-20,379
"2020-06-03",2020-04-21,360
"2020-06-03",2020-04-22,430
"2020-06-03",2020-04-23,457
"2020-06-03",2020-04-24,469
"2020-06-03",2020-04-25,508
"2020-06-03",2020-04-26,459
"2020-06-03",2020-04-27,496
"2020-06-03",2020-04-28,535
"2020-06-03",2020-04-29,555
"2020-06-03",2020-04-30,510
"2020-06-03",2020-05-01,571
"2020-06-03",2020-05-02,575
"2020-06-03",2020-05-03,605
"2020-06-03",2020-05-04,640
"2020-06-03",2020-05-05,661
"2020-06-03",2020-05-06,596
"2020-06-03",2020-05-07,605
"2020-06-03",2020-05-08,644
"2020-06-03",2020-05-09,660
"2020-06-03",2020-05-10,622
"2020-06-03",2020-05-11,641
"2020-06-03",2020-05-12,672
"2020-06-03",2020-05-13,604
"2020-06-03",2020-05-14,623
"2020-06-03",2020-05-15,601
"2020-06-03",2020-05-16,587
"2020-06-03",2020-05-17,597
"2020-06-03",2020-05-18,597
"2020-06-03",2020-05-19,584
"2020-06-03",2020-05-20,499
"2020-06-03",2020-05-21,535
"2020-06-03",2020-05-22,570
"2020-06-03",2020-05-23,497
"2020-06-03",2020-05-24,467
"2020-06-03",2020-05-25,516
"2020-06-03",2020-05-26,430
"2020-06-03",2020-05-27,407
"2020-06-03",2020-05-28,371
"2020-06-03",2020-05-29,384
"2020-06-03",2020-05-30,332
"2020-06-03",2020-05-31,320
"2020-06-03",2020-06-01,306
"2020-06-03",2020-06-02,213
"2020-06-03",2020-06-03,71
"2020-06-04",2020-03-12,1
"2020-06-04",2020-03-15,1
"2020-06-04",2020-03-16,3
"2020-06-04",2020-03-17,4
"2020-06-04",2020-03-18,8
"2020-06-04",2020-03-19,9
"2020-06-04",2020-03-20,17
"2020-06-04",2020-03-21,14
"2020-06-04",2020-03-22,20
"2020-06-04",2020-03-23,38
"2020-06-04",2020-03-24,37
"2020-06-04",2020-03-25,39
"2020-06-04",2020-03-26,53
"2020-06-04",2020-03-27,58
"2020-06-04",2020-03-28,72
"2020-06-04",2020-03-29,70
"2020-06-04",2020-03-30,87
"2020-06-04",2020-03-31,118
"2020-06-04",2020-04-01,114
"2020-06-04",2020-04-02,131
"2020-06-04",2020-04-03,161
"2020-06-04",2020-04-04,175
"2020-06-04",2020-04-05,174
"2020-06-04",2020-04-06,173
"2020-06-04",2020-04-07,191
"2020-06-04",2020-04-08,187
"2020-06-04",2020-04-09,192
"2020-06-04",2020-04-10,230
"2020-06-04",2020-04-11,212
"2020-06-04",2020-04-12,264
"2020-06-04",2020-04-13,276
"2020-06-04",2020-04-14,255
"2020-06-04",2020-04-15,300
"2020-06-04",2020-04-16,305
"2020-06-04",2020-04-17,314
"2020-06-04",2020-04-18,332
"2020-06-04",2020-04-19,354
"2020-06-04",2020-04-20,407
"2020-06-04",2020-04-21,366
"2020-06-04",2020-04-22,433
"2020-06-04",2020-04-23,461
"2020-06-04",2020-04-24,474
"2020-06-04",2020-04-25,512
"2020-06-04",2020-04-26,471
"2020-06-04",2020-04-27,502
"2020-06-04",2020-04-28,546
"2020-06-04",2020-04-29,560
"2020-06-04",2020-04-30,515
"2020-06-04",2020-05-01,574
"2020-06-04",2020-05-02,582
"2020-06-04",2020-05-03,620
"2020-06-04",2020-05-04,647
"2020-06-04",2020-05-05,669
"2020-06-04",2020-05-06,611
"2020-06-04",2020-05-07,611
"2020-06-04",2020-05-08,655
"2020-06-04",2020-05-09,669
"2020-06-04",2020-05-10,632
"2020-06-04",2020-05-11,654
"2020-06-04",2020-05-12,683
"2020-06-04",2020-05-13,623
"2020-06-04",2020-05-14,635
"2020-06-04",2020-05-15,618
"2020-06-04",2020-05-16,606
"2020-06-04",2020-05-17,614
"2020-06-04",2020-05-18,624
"2020-06-04",2020-05-19,601
"2020-06-04",2020-05-20,514
"2020-06-04",2020-05-21,558
"2020-06-04",2020-05-22,598
"2020-06-04",2020-05-23,517
"2020-06-04",2020-05-24,487
"2020-06-04",2020-05-25,541
"2020-06-04",2020-05-26,452
"2020-06-04",2020-05-27,421
"2020-06-04",2020-05-28,394
"2020-06-04",2020-05-29,417
"2020-06-04",2020-05-30,372
"2020-06-04",2020-05-31,349
"2020-06-04",2020-06-01,337
"2020-06-04",2020-06-02,266
"2020-06-04",2020-06-03,215
"2020-06-04",2020-06-04,101
"2020-06-05",2020-03-12,1
"2020-06-05",2020-03-15,1
"2020-06-05",2020-03-16,3
"2020-06-05",2020-03-17,4
"2020-06-05",2020-03-18,8
"2020-06-05",2020-03-19,9
"2020-06-05",2020-03-20,17
"2020-06-05",2020-03-21,14
"2020-06-05",2020-03-22,20
"2020-06-05",2020-03-23,38
"2020-06-05",2020-03-24,37
"2020-06-05",2020-03-25,39
"2020-06-05",2020-03-26,53
"2020-06-05",2020-03-27,58
"2020-06-05",2020-03-28,72
"2020-06-05",2020-03-29,70
"2020-06-05",2020-03-30,88
"2020-06-05",2020-03-31,119
"2020-06-05",2020-04-01,114
"2020-06-05",2020-04-02,132
"2020-06-05",2020-04-03,161
"2020-06-05",2020-04-04,176
"2020-06-05",2020-04-05,175
"2020-06-05",2020-04-06,174
"2020-06-05",2020-04-07,191
"2020-06-05",2020-04-08,186
"2020-06-05",2020-04-09,192
"2020-06-05",2020-04-10,233
"2020-06-05",2020-04-11,215
"2020-06-05",2020-04-12,264
"2020-06-05",2020-04-13,278
"2020-06-05",2020-04-14,255
"2020-06-05",2020-04-15,302
"2020-06-05",2020-04-16,309
"2020-06-05",2020-04-17,316
"2020-06-05",2020-04-18,335
"2020-06-05",2020-04-19,356
"2020-06-05",2020-04-20,408
"2020-06-05",2020-04-21,366
"2020-06-05",2020-04-22,436
"2020-06-05",2020-04-23,463
"2020-06-05",2020-04-24,474
"2020-06-05",2020-04-25,517
"2020-06-05",2020-04-26,482
"2020-06-05",2020-04-27,510
"2020-06-05",2020-04-28,559
"2020-06-05",2020-04-29,564
"2020-06-05",2020-04-30,520
"2020-06-05",2020-05-01,584
"2020-06-05",2020-05-02,589
"2020-06-05",2020-05-03,632
"2020-06-05",2020-05-04,658
"2020-06-05",2020-05-05,679
"2020-06-05",2020-05-06,620
"2020-06-05",2020-05-07,620
"2020-06-05",2020-05-08,665
"2020-06-05",2020-05-09,673
"2020-06-05",2020-05-10,636
"2020-06-05",2020-05-11,667
"2020-06-05",2020-05-12,696
"2020-06-05",2020-05-13,634
"2020-06-05",2020-05-14,657
"2020-06-05",2020-05-15,631
"2020-06-05",2020-05-16,621
"2020-06-05",2020-05-17,639
"2020-06-05",2020-05-18,640
"2020-06-05",2020-05-19,619
"2020-06-05",2020-05-20,539
"2020-06-05",2020-05-21,574
"2020-06-05",2020-05-22,623
"2020-06-05",2020-05-23,555
"2020-06-05",2020-05-24,510
"2020-06-05",2020-05-25,567
"2020-06-05",2020-05-26,477
"2020-06-05",2020-05-27,448
"2020-06-05",2020-05-28,427
"2020-06-05",2020-05-29,445
"2020-06-05",2020-05-30,400
"2020-06-05",2020-05-31,373
"2020-06-05",2020-06-01,374
"2020-06-05",2020-06-02,298
"2020-06-05",2020-06-03,272
"2020-06-05",2020-06-04,222
"2020-06-05",2020-06-05,75
"2020-06-06",2020-03-12,1
"2020-06-06",2020-03-15,1
"2020-06-06",2020-03-16,3
"2020-06-06",2020-03-17,4
"2020-06-06",2020-03-18,8
"2020-06-06",2020-03-19,9
"2020-06-06",2020-03-20,17
"2020-06-06",2020-03-21,14
"2020-06-06",2020-03-22,20
"2020-06-06",2020-03-23,38
"2020-06-06",2020-03-24,37
"2020-06-06",2020-03-25,39
"2020-06-06",2020-03-26,53
"2020-06-06",2020-03-27,58
"2020-06-06",2020-03-28,72
"2020-06-06",2020-03-29,70
"2020-06-06",2020-03-30,88
"2020-06-06",2020-03-31,119
"2020-06-06",2020-04-01,114
"2020-06-06",2020-04-02,132
"2020-06-06",2020-04-03,161
"2020-06-06",2020-04-04,177
"2020-06-06",2020-04-05,175
"2020-06-06",2020-04-06,173
"2020-06-06",2020-04-07,193
"2020-06-06",2020-04-08,186
"2020-06-06",2020-04-09,192
"2020-06-06",2020-04-10,234
"2020-06-06",2020-04-11,215
"2020-06-06",2020-04-12,265
"2020-06-06",2020-04-13,278
"2020-06-06",2020-04-14,254
"2020-06-06",2020-04-15,304
"2020-06-06",2020-04-16,314
"2020-06-06",2020-04-17,316
"2020-06-06",2020-04-18,334
"2020-06-06",2020-04-19,358
"2020-06-06",2020-04-20,408
"2020-06-06",2020-04-21,372
"2020-06-06",2020-04-22,438
"2020-06-06",2020-04-23,464
"2020-06-06",2020-04-24,475
"2020-06-06",2020-04-25,535
"2020-06-06",2020-04-26,486
"2020-06-06",2020-04-27,514
"2020-06-06",2020-04-28,563
"2020-06-06",2020-04-29,567
"2020-06-06",2020-04-30,523
"2020-06-06",2020-05-01,589
"2020-06-06",2020-05-02,596
"2020-06-06",2020-05-03,637
"2020-06-06",2020-05-04,662
"2020-06-06",2020-05-05,681
"2020-06-06",2020-05-06,622
"2020-06-06",2020-05-07,627
"2020-06-06",2020-05-08,675
"2020-06-06",2020-05-09,678
"2020-06-06",2020-05-10,643
"2020-06-06",2020-05-11,670
"2020-06-06",2020-05-12,700
"2020-06-06",2020-05-13,648
"2020-06-06",2020-05-14,667
"2020-06-06",2020-05-15,643
"2020-06-06",2020-05-16,633
"2020-06-06",2020-05-17,641
"2020-06-06",2020-05-18,644
"2020-06-06",2020-05-19,630
"2020-06-06",2020-05-20,550
"2020-06-06",2020-05-21,582
"2020-06-06",2020-05-22,628
"2020-06-06",2020-05-23,561
"2020-06-06",2020-05-24,512
"2020-06-06",2020-05-25,573
"2020-06-06",2020-05-26,482
"2020-06-06",2020-05-27,456
"2020-06-06",2020-05-28,436
"2020-06-06",2020-05-29,451
"2020-06-06",2020-05-30,406
"2020-06-06",2020-05-31,379
"2020-06-06",2020-06-01,390
"2020-06-06",2020-06-02,320
"2020-06-06",2020-06-03,293
"2020-06-06",2020-06-04,263
"2020-06-06",2020-06-05,143
"2020-06-06",2020-06-06,60
"2020-06-07",2020-03-12,1
"2020-06-07",2020-03-15,1
"2020-06-07",2020-03-16,3
"2020-06-07",2020-03-17,4
"2020-06-07",2020-03-18,8
"2020-06-07",2020-03-19,9
"2020-06-07",2020-03-20,17
"2020-06-07",2020-03-21,14
"2020-06-07",2020-03-22,20
"2020-06-07",2020-03-23,38
"2020-06-07",2020-03-24,37
"2020-06-07",2020-03-25,39
"2020-06-07",2020-03-26,53
"2020-06-07",2020-03-27,58
"2020-06-07",2020-03-28,72
"2020-06-07",2020-03-29,70
"2020-06-07",2020-03-30,88
"2020-06-07",2020-03-31,119
"2020-06-07",2020-04-01,114
"2020-06-07",2020-04-02,132
"2020-06-07",2020-04-03,161
"2020-06-07",2020-04-04,177
"2020-06-07",2020-04-05,175
"2020-06-07",2020-04-06,173
"2020-06-07",2020-04-07,193
"2020-06-07",2020-04-08,186
"2020-06-07",2020-04-09,192
"2020-06-07",2020-04-10,234
"2020-06-07",2020-04-11,215
"2020-06-07",2020-04-12,265
"2020-06-07",2020-04-13,278
"2020-06-07",2020-04-14,254
"2020-06-07",2020-04-15,305
"2020-06-07",2020-04-16,314
"2020-06-07",2020-04-17,316
"2020-06-07",2020-04-18,334
"2020-06-07",2020-04-19,359
"2020-06-07",2020-04-20,408
"2020-06-07",2020-04-21,372
"2020-06-07",2020-04-22,438
"2020-06-07",2020-04-23,463
"2020-06-07",2020-04-24,475
"2020-06-07",2020-04-25,536
"2020-06-07",2020-04-26,523
"2020-06-07",2020-04-27,515
"2020-06-07",2020-04-28,566
"2020-06-07",2020-04-29,568
"2020-06-07",2020-04-30,526
"2020-06-07",2020-05-01,591
"2020-06-07",2020-05-02,599
"2020-06-07",2020-05-03,638
"2020-06-07",2020-05-04,666
"2020-06-07",2020-05-05,684
"2020-06-07",2020-05-06,625
"2020-06-07",2020-05-07,627
"2020-06-07",2020-05-08,678
