Data,05/06/20,29/05/20,26/05/20,25/05/20,21/05/20,18/05/20,12/05/20,08/05/20,07/05/20,03/05/20,02/05/20,29/04/20,27/04/20,23/04/20,22/04/20,20/04/20,19/04/20,17/04/20,16/04/20,15/04/20,14/04/20,13/04/20,11/04/20,10/04/20,08/04/20,07/04/20,06/04/20,05/04/20,04/04/20,02/04/20,30/03/20,29/03/20
26/03/2020,53,53,52,52,52,49,48,47,47,43,43,41,37,36,36,33,32,32,32,31,31,30,29,29,28,28,27,26,25,20,14,14
27/03/2020,58,59,58,58,58,58,57,55,55,52,52,52,48,43,40,36,35,35,35,33,30,30,29,29,28,27,25,25,23,15,11,11
28/03/2020,73,73,73,71,71,69,68,66,66,64,64,64,56,54,52,51,51,51,49,44,41,41,39,36,34,33,33,33,31,28,15,13
29/03/2020,68,72,72,72,72,67,65,64,64,62,62,62,61,54,52,49,48,48,48,48,46,45,45,45,45,43,43,41,37,30,14,7
30/03/2020,88,89,89,89,88,86,86,82,82,82,82,82,73,71,66,59,57,57,55,52,51,47,46,43,42,36,33,33,33,27,2,
31/03/2020,115,113,112,112,110,107,98,93,90,88,87,87,84,81,75,73,72,70,67,64,59,55,54,52,46,39,32,27,26,20,,
01/04/2020,112,113,113,112,110,108,105,103,100,98,97,96,86,82,81,73,70,68,65,61,57,53,53,52,45,36,35,32,29,15,,
02/04/2020,129,131,130,130,129,120,116,115,110,107,107,107,102,100,95,82,82,79,75,71,67,56,54,51,48,36,27,26,26,5,,
03/04/2020,159,160,155,154,153,144,135,131,131,126,126,122,117,110,105,94,91,87,84,77,71,64,63,58,41,35,25,21,17,,,
04/04/2020,174,172,168,167,162,155,151,148,146,141,140,138,136,119,111,103,102,98,92,85,80,75,71,65,49,44,27,11,,,,
05/04/2020,173,174,170,168,161,154,152,149,149,145,144,141,133,128,122,111,107,104,98,90,86,78,71,69,51,42,20,6,,,,
06/04/2020,172,168,165,164,162,159,155,154,154,154,154,145,129,120,115,104,102,93,86,80,73,71,70,64,46,31,5,,,,,
07/04/2020,188,188,185,184,183,174,170,168,166,163,163,153,140,135,123,106,102,99,90,81,71,61,53,50,25,4,,,,,,
08/04/2020,188,189,184,184,182,170,168,171,171,164,164,155,146,130,118,105,105,101,93,79,70,57,53,45,3,,,,,,,
09/04/2020,190,191,187,187,182,175,163,150,143,134,134,127,121,110,97,90,86,79,70,60,50,44,32,22,,,,,,,,
10/04/2020,230,228,222,220,213,202,195,193,191,181,179,163,150,139,122,103,99,87,81,67,58,47,31,3,,,,,,,,
11/04/2020,212,211,204,201,197,182,177,171,168,161,160,156,139,124,111,98,96,86,78,69,54,39,13,,,,,,,,,
12/04/2020,264,262,255,252,245,229,221,212,209,200,198,186,171,151,132,114,109,101,93,78,57,25,,,,,,,,,,
13/04/2020,277,271,254,251,246,231,210,203,203,203,203,193,178,155,140,113,108,96,84,67,37,6,,,,,,,,,,
14/04/2020,247,241,234,231,226,219,203,194,195,188,187,168,145,129,109,93,89,70,52,25,5,,,,,,,,,,,
15/04/2020,297,278,269,264,258,247,223,210,210,200,197,182,150,132,113,87,83,62,41,10,,,,,,,,,,,,
16/04/2020,297,277,264,264,260,248,229,224,218,197,193,157,120,93,73,51,45,33,5,,,,,,,,,,,,,
17/04/2020,310,286,274,270,260,247,235,222,212,192,190,164,137,101,75,44,35,15,,,,,,,,,,,,,,
18/04/2020,328,307,297,294,288,277,255,239,231,208,205,179,151,98,69,28,19,,,,,,,,,,,,,,,
19/04/2020,335,315,295,287,280,264,236,220,214,189,183,158,118,72,50,21,2,,,,,,,,,,,,,,,
20/04/2020,378,362,345,339,332,319,282,268,255,225,220,176,121,79,52,5,,,,,,,,,,,,,,,,
21/04/2020,353,336,325,318,299,278,249,240,226,200,199,161,106,56,34,,,,,,,,,,,,,,,,,
22/04/2020,424,405,385,376,361,334,290,266,239,202,200,151,108,46,6,,,,,,,,,,,,,,,,,
23/04/2020,450,433,413,393,377,357,321,290,247,198,188,145,94,10,,,,,,,,,,,,,,,,,,
24/04/2020,470,438,422,416,401,370,293,260,225,177,173,132,55,,,,,,,,,,,,,,,,,,,
25/04/2020,504,459,412,404,395,362,274,251,221,169,162,107,23,,,,,,,,,,,,,,,,,,,
26/04/2020,458,418,407,397,380,353,306,268,237,194,184,121,,,,,,,,,,,,,,,,,,,,
27/04/2020,488,462,432,413,404,359,291,259,214,156,147,72,,,,,,,,,,,,,,,,,,,,
28/04/2020,530,492,465,455,427,377,318,283,228,168,157,49,,,,,,,,,,,,,,,,,,,,
29/04/2020,550,512,483,474,442,395,317,274,221,129,111,3,,,,,,,,,,,,,,,,,,,,
30/04/2020,508,470,440,425,398,349,253,217,161,83,66,,,,,,,,,,,,,,,,,,,,,
01/05/2020,564,515,479,469,401,359,263,227,164,63,51,,,,,,,,,,,,,,,,,,,,,
02/05/2020,568,533,493,480,414,363,255,217,143,31,4,,,,,,,,,,,,,,,,,,,,,
03/05/2020,600,547,503,480,441,371,267,216,139,2,,,,,,,,,,,,,,,,,,,,,,
04/05/2020,637,583,529,495,447,372,270,202,123,,,,,,,,,,,,,,,,,,,,,,,
05/05/2020,652,608,548,518,473,391,274,204,95,,,,,,,,,,,,,,,,,,,,,,,
06/05/2020,585,524,481,462,414,327,192,123,11,,,,,,,,,,,,,,,,,,,,,,,
07/05/2020,597,521,474,466,414,326,197,106,,,,,,,,,,,,,,,,,,,,,,,,
08/05/2020,639,563,509,485,403,307,172,31,,,,,,,,,,,,,,,,,,,,,,,,
09/05/2020,652,550,487,465,394,303,131,,,,,,,,,,,,,,,,,,,,,,,,,
10/05/2020,611,514,464,442,388,303,117,,,,,,,,,,,,,,,,,,,,,,,,,
11/05/2020,632,546,459,423,362,263,75,,,,,,,,,,,,,,,,,,,,,,,,,
12/05/2020,668,542,462,432,380,260,14,,,,,,,,,,,,,,,,,,,,,,,,,
13/05/2020,594,508,440,407,338,221,,,,,,,,,,,,,,,,,,,,,,,,,,
14/05/2020,607,504,418,386,300,169,,,,,,,,,,,,,,,,,,,,,,,,,,
15/05/2020,580,479,391,360,268,110,,,,,,,,,,,,,,,,,,,,,,,,,,
16/05/2020,559,464,384,347,245,53,,,,,,,,,,,,,,,,,,,,,,,,,,
17/05/2020,575,481,390,358,269,25,,,,,,,,,,,,,,,,,,,,,,,,,,
18/05/2020,572,489,395,349,228,,,,,,,,,,,,,,,,,,,,,,,,,,,
19/05/2020,571,485,378,327,203,,,,,,,,,,,,,,,,,,,,,,,,,,,
20/05/2020,473,402,287,239,96,,,,,,,,,,,,,,,,,,,,,,,,,,,
21/05/2020,518,427,272,220,12,,,,,,,,,,,,,,,,,,,,,,,,,,,
22/05/2020,544,431,248,160,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23/05/2020,470,350,178,93,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24/05/2020,452,330,169,67,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25/05/2020,482,329,111,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26/05/2020,397,258,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27/05/2020,379,201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28/05/2020,343,113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29/05/2020,347,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30/05/2020,298,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31/05/2020,280,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/06/2020,250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02/06/2020,141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/06/2020,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
